Date,Abortion,Anaemia ,Arthritis,Asthma,Autism,Bilharzia  (Schistosomiasis),Brucellosis,Burns,Cardiovascular conditions,Central Nervous System Conditions,Cerebral Palsy,Chicken Pox,Cholera,Malaria,Deaths due to Road Traffic Injuries,Dental Disorders,Diabetes,Diarrhoea,Disease of Puerperium and Childbirth,Disease of the skin,Dog Bites,Down's syndromes,Dysentery (Bloody Diarrhoea),Ear Infections/ Conditions,Epilepsy,Eye Infections,Fistula (Birth related),Hepatitis,Hypertension,Intestinal worms,Jiggers Infestation,Leishmaniaisis(Kalazar), Amoebiasis,Chikungunya,Cutaneous leishmaniasis, Dengue fever,Diarrhoea with severe dehydration,Diarrhoea with some dehydration, Down's syndrome, Gastroenterirtis, Hypoxaemia (Spo2<90%),Lower Respiratory Tract Infections,Neonatal Sepsis, Pneumonia,Rheumatic Fever,Rift valley fever,pneumonia,Childhood Cancers,anthrax,Total
01/01/2020,58,164,9646,1236,0,21,8,500,49,105,6,186,0,54,1,1143,2142,5405,30,15709,115,7,29,1286,191,1893,0,1,6737,12716,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223086
01/02/2020,86,177,8581,1135,0,120,3,412,51,179,11,235,0,37,3,1793,1981,4550,100,13076,141,0,23,1798,239,1917,0,0,6634,11686,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248882
01/03/2020,48,154,8957,1410,0,305,13,404,23,140,0,247,0,28,0,1579,1558,4545,51,13300,165,0,35,1835,449,2076,0,0,5544,11047,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200896
01/04/2020,71,100,6482,648,0,142,5,416,36,110,3,116,0,13,0,945,1381,2640,54,9876,123,23,14,1293,176,1154,0,6,3793,7661,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135572
01/05/2020,282,161,9046,1344,0,63,7,430,38,153,8,102,0,23,0,1327,1902,2876,44,14344,117,1,17,1347,153,1523,0,0,4401,10213,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157248
01/06/2020,51,197,8583,661,1,36,26,475,63,286,9,87,0,5,0,1669,1934,3216,17,13776,131,3,37,3330,144,1756,0,1,6136,10129,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220466
01/07/2020,327,103,10557,979,5,11,12,443,38,277,3,88,0,36,2,1229,2535,3090,38,12631,115,3,33,1396,147,1741,0,2,7114,10161,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177377
01/08/2020,83,134,8880,798,0,104,14,477,42,325,0,93,0,14,0,1836,2280,2864,34,10927,145,43,13,1329,124,1666,1,1,5915,9652,113,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,166340
01/09/2020,69,185,9684,756,0,8,13,466,39,207,0,101,0,4,0,1973,2299,3151,64,10143,180,0,27,2138,255,1775,0,0,6726,9831,60,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,169795
01/10/2020,194,180,8598,1271,1,44,33,368,35,116,2,95,0,11,245,1005,1992,1849,32,9342,93,0,10,1357,187,2986,33,2,5545,8199,265,0,1005,0,0,0,1,30,0,11,0,1314,9,427,40,0,19,0,0,179880
01/11/2020,112,170,8289,1729,1,187,29,435,33,207,0,95,0,14,321,1213,1459,1689,56,9387,106,0,26,1043,408,2971,133,1,4367,8328,141,0,2645,0,0,0,2,31,6,125,0,1461,20,444,0,0,9,0,0,194922
01/12/2020,114,152,7315,1048,1,7,23,424,53,181,2,86,0,16,43,1419,2141,2024,147,10182,116,0,29,1109,300,2877,78,1,4223,7548,155,0,2711,0,1,0,10,46,1,243,0,1125,26,440,0,0,23,0,0,164087
01/01/2021,161,161,8532,1264,1,11,15,599,17,182,1,139,0,19,43,1327,1540,2312,123,9184,113,0,32,1924,434,3699,2,0,4578,8719,116,0,3243,0,0,0,2,148,5,292,33,2498,48,772,0,0,23,0,229,199144
01/02/2021,155,138,8638,902,1,15,26,437,58,133,3,175,0,24,154,1515,2120,2398,52,9966,106,0,20,1283,147,4489,14,1,5199,8811,54,0,4105,0,0,1,5,121,6,406,11,2710,47,1103,0,0,170,2,12,225947
01/03/2021,213,186,9433,1036,1,192,10,397,44,219,2,235,0,39,45,849,2167,2274,61,12404,117,0,41,1165,180,3768,11,1,4359,8456,157,0,4181,0,0,0,5,81,2,453,0,3495,33,1215,3,1,80,0,0,239747
01/04/2021,97,166,7104,799,0,26,15,393,20,140,0,155,0,19,33,1029,1673,1781,55,12038,135,0,23,863,173,2561,0,0,4105,6154,140,0,2981,0,0,0,0,49,6,312,2,1157,30,551,1,0,70,0,0,174090
01/05/2021,113,135,7871,919,0,14,4,492,45,157,1,122,0,18,16,1544,1570,1831,61,13318,114,0,12,1054,228,2944,0,0,3731,7330,34,0,3591,0,0,0,1,66,18,369,24,1718,20,777,0,0,104,0,7,195395
01/06/2021,108,146,8529,1379,0,9,21,359,38,175,2,177,0,36,10,1412,1588,2209,41,11401,107,0,20,1056,244,3495,203,0,4147,6919,83,0,3568,0,0,0,12,66,32,439,0,1824,8,803,0,0,83,0,0,217939
01/07/2021,104,284,7299,932,0,32,11,308,24,160,0,270,0,32,27,1644,3829,1866,31,8224,141,0,24,3164,170,3182,31,2,4345,6328,158,0,3335,0,0,0,8,66,10,421,0,2405,29,1018,0,0,58,0,0,232002
01/08/2021,83,241,9044,2172,0,5,10,302,41,118,1,363,0,16,14,1539,1673,2618,36,8221,75,0,35,887,401,4089,57,4,3872,8491,136,0,4310,0,1,4,40,81,1,513,17,3056,22,1477,0,3,35,0,4,262462
01/09/2021,69,173,7322,808,1,20,3,358,58,127,1,346,0,24,34,1493,1568,2382,42,7208,55,0,21,813,97,3950,18,0,3890,6838,51,8,3902,0,0,0,8,71,1,535,10,2439,38,1661,0,0,168,0,0,228821
01/10/2021,59,150,6108,875,0,46,4,260,17,115,3,587,0,12,27,1600,1573,1940,88,6755,93,0,67,825,155,3635,24,9,3525,5727,55,0,3098,0,0,0,1,85,26,456,0,1368,17,800,0,0,34,0,47,188544
01/11/2021,82,285,6879,766,0,7,13,270,47,118,3,896,0,21,27,2030,1548,2770,67,7789,97,0,57,719,242,3988,2,8,3954,7137,27,10,4257,0,0,0,33,86,5,483,0,1416,30,1241,0,0,163,0,0,211770
01/12/2021,68,125,7734,798,1,95,2,410,43,262,3,889,0,26,27,1143,1790,2856,39,7223,70,0,78,740,174,3190,15,1,4068,6400,49,0,4451,0,4,0,28,92,0,399,33,1713,49,1240,0,0,420,1,7,208391
01/01/2022,141,153,8084,885,1,12,13,300,63,137,1,902,0,15,4,1633,2113,3238,45,9277,132,0,66,1165,240,2855,108,1,4032,7501,104,0,4892,0,6,0,31,137,2,483,5,1413,57,1186,3,0,43,0,0,216666
01/02/2022,134,177,6717,952,1,47,6,378,65,197,7,1126,0,16,20,1593,1418,2385,62,7596,120,0,66,1048,94,3694,61,28,3553,5472,71,0,3576,0,0,0,23,84,3,457,15,1475,27,1459,0,0,270,0,27,188753
01/03/2022,95,154,6400,746,1,96,67,363,55,179,6,1712,0,13,5,1870,1770,1955,82,7860,120,0,41,779,123,3278,44,4,3721,4947,41,0,2951,0,7,0,23,94,0,415,17,1045,44,1177,0,0,134,0,3,185081
01/04/2022,138,162,5535,597,4,96,31,403,63,215,7,911,0,45,3,953,1200,1910,125,7576,93,0,42,770,138,2626,23,1,3095,4589,245,0,2788,0,8,0,19,66,1,308,0,760,22,511,0,0,43,18,1,191391
01/05/2022,264,188,7131,930,0,55,16,460,83,195,7,711,0,36,55,1676,1544,2529,31,10271,106,0,58,830,139,3186,28,8,3787,6139,109,0,4405,0,7,0,25,78,5,340,0,1969,40,1052,0,0,44,0,0,216122
01/06/2022,83,267,6779,842,3,43,16,351,35,216,1,865,0,40,7,1548,1572,2579,57,8871,95,0,86,840,175,3572,88,8,3881,6303,129,0,4390,0,0,0,40,105,0,346,3,1767,37,1599,0,0,106,0,0,217687
01/07/2022,70,185,5567,904,0,63,2,214,29,189,1,1328,0,24,2,1257,1245,1913,29,6354,105,0,44,772,144,3103,95,5,3377,4128,125,0,3762,0,2,0,12,87,1,237,18,1413,27,1594,0,0,56,0,0,185699
01/08/2022,47,213,5430,979,4,15,9,269,73,253,0,1532,0,16,29,1443,1355,1880,79,6961,115,0,24,1155,78,2897,1,4,3615,4906,52,0,3739,0,2,0,8,74,5,253,4,1183,27,1225,2,0,50,0,0,184368
01/09/2022,73,294,6721,1382,1,499,46,345,30,186,4,1925,0,9,14,1344,1543,2013,19,7114,109,0,57,806,227,3231,10,1,4194,5569,47,0,4603,0,1,0,46,105,7,272,3,1744,46,1244,2,0,41,0,0,202203
01/10/2022,232,283,7426,890,4,29,22,365,52,387,0,2360,0,5,1,1476,1593,2874,152,6960,88,0,203,1312,83,4169,31,9,4027,7665,217,0,5598,0,4,0,44,165,27,439,0,1670,65,1296,0,0,29,2,0,217133
01/11/2022,103,261,7533,1097,2,30,6,308,61,246,7,2380,5,26,2,1817,1424,2464,130,7175,120,0,52,898,145,2197,0,4,3330,6337,33,0,5140,0,2,0,16,117,3,372,0,1224,27,1295,7,0,62,0,0,214616
01/12/2022,85,139,6129,655,4,5,7,315,44,142,10,1534,0,8,7,1733,1273,2567,36,12000,125,0,44,807,84,2392,23,8,2965,5153,84,0,3903,0,4,0,20,89,2,336,0,1342,50,913,0,0,44,0,0,191440
01/01/2023,202,221,7295,1062,0,32,26,430,85,203,5,711,0,47,23,1814,1626,2507,76,8124,152,0,30,883,158,3323,29,5,3926,6644,103,3,4909,0,3,0,17,76,9,334,8,886,40,904,0,0,24,0,0,201471
01/02/2023,202,221,7479,1260,2,21,41,389,57,200,3,389,0,18,7,2017,1378,3668,69,7930,156,0,30,873,121,3637,2,9,4136,6097,118,0,5129,0,0,0,9,75,7,304,5,1622,30,1277,0,0,131,0,0,211723
01/03/2023,91,291,8093,969,3,114,8,383,52,199,4,653,1,18,20,1879,1128,2933,247,8164,122,0,17,1100,98,4198,10,6,3310,6972,138,0,5811,0,0,0,15,73,4,430,8,1348,28,1424,0,0,73,0,0,228737
01/04/2023,222,200,6126,971,2,24,8,384,35,216,7,477,0,24,24,1658,1388,2470,32,7631,98,0,35,1051,72,3696,102,3,3070,5748,78,0,4616,0,0,0,3,88,9,283,4,1550,21,1620,0,0,50,0,1,208568
01/05/2023,83,221,8462,1389,0,25,11,403,65,182,5,480,0,44,22,1912,1342,3648,64,10916,137,0,57,1090,334,2374,20,11,3815,7941,43,0,6086,0,0,0,4,118,0,523,2,1398,24,1653,0,0,131,4,3,255531
01/06/2023,92,246,7884,1257,2,27,17,264,91,216,5,326,0,37,7,1485,1188,3074,65,9179,135,0,68,1218,135,3454,32,15,2578,6022,122,0,5188,0,12,0,16,69,2,486,48,2838,118,1626,0,0,78,0,1,226548
01/07/2023,114,180,7136,1010,4,42,9,333,101,266,22,446,0,29,1,1839,1215,2600,29,8063,112,0,46,1282,79,4475,50,10,3296,6137,51,0,4875,0,0,0,11,88,4,290,4,1437,69,1430,0,0,105,0,2,224381
01/08/2023,81,281,6416.4,738,1,20,9,352,115,304,6,330,0,37,67,1727,1151,1903,115,7180,99,0,45,1586,170,3480,53,14,3103,5281,117,0,5043,0,0,0,13,71,10,259,8,1119,46,2289,0,0,179,0,0,233591
01/09/2023,168,297,8451,1293,2,42,12,286,179,427,13,332,0,35,6,3141,1264,2842,382,6869,105,0,66,1546,216,5107,7,13,3220,5639,1313,0,5539,0,0,0,5,68,40,353,19,1172,29,1002,2,0,207,0,175,221287
01/10/2023,133,295,7445,975,24,107,3,272,96,340,5,338,0,25,8,1832,1364,2814,376,6695,116,0,72,1033,193,4192,133,43,2764,4842,82,1,4924,0,0,0,16,81,11,469,0,1206,49,878,1,0,47,0,0,225547
01/11/2023,259,206,6773,871,2,50,28,285,87,273,14,354,0,314,9,1646,1165,1900,96,6249,147,0,51,753,355,3542,160,14,3167,4849,75,0,3873,0,0,0,19,79,0,340,8,1072,46,719,2,0,103,0,1,190705
01/12/2023,103,181,5612,791,0,101,16,371,102,246,3,180,0,36,110,1199,995,1839,129,5780,84,0,43,665,413,2434,68,13,2706,4113,206,46,3709,0,0,0,5,90,6,406,18,647,33,605,6,0,65,0,1,181490
